,genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
68,"[28, 53, 80]",574060,en,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",361.879,2021-07-14,Gunpowder Milkshake,6.5,412
69,"[35, 14, 12, 878]",425909,en,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",375.68,2021-11-11,Ghostbusters: Afterlife,7.4,298
70,"[28, 878, 12]",588228,en,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",366.671,2021-07-02,The Tomorrow War,8.1,4724
71,[53],835551,en,A young girl struggles to survive after a group of home invaders break into her house to steal her family's priceless artwork.,346.959,2021-07-30,Masquerade,5.8,32
72,"[27, 53]",610253,en,"Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",383.265,2021-10-14,Halloween Kills,6.9,1317
73,"[16, 35, 10751, 10402]",438695,en,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",391.756,2021-12-01,Sing 2,7.9,20
74,"[18, 10749, 10402]",424277,en,"The story of Henry, a stand-up comedian with a fierce sense of humour and Ann, a singer of international renown. In the spotlight, they are the perfect couple, healthy, happy, and glamourous. The birth of their first child, Annette, a mysterious girl with an exceptional destiny, will change their lives.",462.556,2021-07-06,Annette,7.1,295
75,[27],672582,en,"While diving in a remote French lake, a couple of YouTubers who specialize in underwater exploration videos discover a house submerged in the deep waters. What was initially a unique finding soon turns into a nightmare when they discover that the house was the scene of atrocious crimes. Trapped, with their oxygen reserves falling dangerously, they realize the worst is yet to come: they are not alone in the house.",367.712,2021-06-30,The Deep House,6.5,324
76,"[16, 12, 10751]",649928,en,A bird raised by mice begins to question where she belongs and sets off on a daring journey of self-discovery.,319.425,2021-10-09,Robin Robin,7.1,22
77,[18],567690,en,"Evan Hansen, a high schooler with social anxiety, unintentionally gets caught up in a lie after the family of a classmate who committed suicide mistakes one of Hansen’s letters for their son’s suicide note.",366.842,2021-09-24,Dear Evan Hansen,6.6,86
78,"[10770, 16, 35, 10751, 18]",805411,en,"Happily-ever-after continues for Auradon's power couple as they prepare to say ""I do"" at an epic celebration with their friends and family, but Hades threatens to ruin it all.",327.371,2021-08-13,Descendants: The Royal Wedding,7.0,63
79,"[28, 12, 14, 878]",19995,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",315.711,2009-12-10,Avatar,7.5,24473
80,"[16, 10751]",779611,en,"Pearl and Gadabout are now a flying doctor trio, caring for creatures including a mermaid, a unicorn and a sneezy lion. However when bad weather forces them to land at the palace, Pearl is locked up by her uncle, the king.",326.774,2021-04-16,Zog and the Flying Doctors,6.8,8
81,[27],820511,en,A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.,322.057,2021-06-28,Ripper Untold,6.5,54
82,"[10751, 14, 16, 28, 12]",527774,en,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",326.866,2021-03-03,Raya and the Last Dragon,8.1,4631
83,"[28, 53]",768449,en,"A seemingly cold-blooded hitman is assigned to befriend a call girl, but all hell breaks loose when he is assigned to kill her.",313.024,2021-03-06,American Badger,5.8,18
84,[53],714968,en,"Germany 1945, Max, a Jewish Holocaust survivor, meets a radical group of Jewish resistance fighters, who, like him, lost all hope for their future after they were robbed of their existence and their entire families were killed by the Nazis. They dream of retaliation on an epic scale for the Jewish people. An eye for an eye, a tooth for a tooth. Max starts identifying with the group's monstrous plans...",307.087,2021-08-16,Plan A,5.4,17
85,"[878, 28]",335983,en,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",305.625,2018-09-28,Venom,6.9,12441
86,"[878, 28, 53]",581726,en,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",316.17,2021-09-09,Infinite,6.9,668
87,"[80, 18]",524369,en,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",281.86,2021-09-22,The Many Saints of Newark,6.8,242
88,"[28, 80, 53]",645788,en,"Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",324.315,2021-08-19,The Protégé,6.8,379
89,"[12, 14]",671,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",292.47,2001-11-16,Harry Potter and the Philosopher's Stone,7.9,21568
90,"[53, 27]",482373,en,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.",270.079,2021-08-12,Don't Breathe 2,7.6,1238
91,"[27, 9648, 53]",423108,en,"Paranormal investigators Ed and Lorraine Warren encounter what would become one of the most sensational cases from their files. The fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in U.S. history that a murder suspect would claim demonic possession as a defense.",284.367,2021-05-25,The Conjuring: The Devil Made Me Do It,7.7,3955
92,"[12, 16, 10751, 14]",588921,en,"An epic journey of a young hero and her Spirit Guides, 'Dillo' a cute and humorous armadillo and ""Vaca"" a goofy oversized tapir, who embark on a quest to save their home in the spectacular Amazon Rainforest.",301.392,2021-02-09,Ainbo: Spirit of the Amazon,7.2,247
93,"[35, 10751]",762469,en,"Caroline Christmas, a control freak desires nothing more than a perfect Christmas with her sisters at her lavish country manor to atone for the fact that their father abandoned them many years ago. When on Christmas Eve their long-lost father arrives at their doorstep with his new girlfriend, chaos ensues. Through a series of mishaps and misunderstandings, Caroline uncovers a long-buried family secret. Can the family still celebrate Christmas together after all?",238.824,2021-11-07,Father Christmas Is Back,5.0,61
94,"[16, 35, 14]",813258,en,Drac tries out some new monster pets to help occupy Tinkles for playtime.,272.116,2021-04-02,Monster Pets: A Hotel Transylvania Short,7.6,262
95,"[12, 878, 28]",299534,en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",276.618,2019-04-24,Avengers: Endgame,8.3,19724
96,[878],681887,en,"In the year 2524, four centuries after humans started colonizing the outer planets, retired General James Ford gets called back into service when a hostile alien fleet attacks soldiers on a remote planet. The threat against mankind soon escalates into an interstellar war as Ford and a team of elite soldiers try to stop the imminent attack before it's too late.",289.593,2021-03-12,Cosmic Sin,4.3,380
97,"[10751, 35, 14]",8871,en,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",292.489,2000-11-17,How the Grinch Stole Christmas,6.7,5611
98,"[53, 27, 9648]",631843,en,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,299.417,2021-07-21,Old,6.6,1827
99,[28],767304,en,"When his wife is kidnapped by terrorists for ransom, veteran war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against powerful and dark forces.",274.923,2021-01-08,Redemption Day,6.6,164
